MOON                  , J001314.0+151101 , elodie:20000822/0019 ,    2   
HD000886              , J001314.0+151101 , elodie:20000822/0015 ,  344   
MOON                  , J001314.0+151101 , elodie:20000822/0020 ,   47   
MOON                  , J001314.0+151101 , elodie:20000822/0021 ,  404   
HD000886              , J001314.0+151101 , elodie:20010811/0028 ,  179   
HD000886              , J001314.0+151101 , elodie:20030808/0024 ,  210   
HD000886              , J001314.0+151101 , elodie:20030808/0027 ,  192   
HD000886              , J001314.0+151101 , elodie:20030808/0031 ,  336   
HD000886              , J001314.0+151101 , elodie:20030809/0037 ,  224   
HD000886              , J001314.0+151101 , elodie:20030809/0038 ,  227   
HD000886              , J001314.0+151101 , elodie:20030809/0043 ,  188   
HD000886              , J001314.0+151101 , elodie:20030809/0048 ,  194   
HD000886              , J001314.0+151101 , elodie:20030809/0044 ,  181   
HD000886              , J001314.0+151101 , elodie:20030809/0047 ,  183   
HD000886              , J001314.0+151101 , elodie:20030810/0049 ,  182   
HD000886              , J001314.0+151101 , elodie:20030810/0041 ,  172   
HD000886              , J001314.0+151101 , elodie:20030810/0050 ,  176   
HD000886              , J001314.0+151101 , elodie:20030810/0042 ,  172   
HD000886              , J001314.0+151101 , elodie:20030810/0031 ,  148   
HD000886              , J001314.0+151101 , elodie:20030810/0032 ,  189   
HD000886              , J001314.0+151101 , elodie:20030811/0042 ,  198   
HD000886              , J001314.0+151101 , elodie:20030811/0049 ,  185   
HD000886              , J001314.0+151101 , elodie:20030811/0056 ,  199   
HD000886              , J001314.0+151101 , elodie:20030811/0055 ,  192   
HD000886              , J001314.0+151101 , elodie:20030811/0061 ,  217   
HD000886              , J001314.0+151101 , elodie:20030811/0041 ,  203   
HD000886              , J001314.0+151101 , elodie:20030811/0050 ,  191   
HD000886              , J001314.0+151101 , elodie:20030811/0062 ,  207   
HD000886              , J001314.0+151101 , elodie:20030812/0016 ,  148   
HD000886              , J001314.0+151101 , elodie:20030813/0020 ,  207   
HD000886              , J001314.0+151101 , elodie:20030814/0021 ,  226   
HD000886              , J001314.0+151101 , elodie:20030814/0020 ,  184   
HD000886              , J001314.0+151101 , elodie:20030815/0034 ,  184   
HD000886              , J001314.0+151101 , elodie:20030815/0026 ,  188   
HD000886              , J001314.0+151101 , elodie:20030815/0030 ,  190   
HD000886              , J001314.0+151101 , elodie:20030815/0035 ,  145   
HD000886              , J001314.0+151101 , elodie:20030816/0029 ,  221   
HD000886              , J001314.0+151101 , elodie:20030816/0035 ,  223   
HD000886              , J001314.0+151101 , elodie:20030816/0040 ,  202   
HD000886              , J001314.0+151101 , elodie:20030816/0028 ,  188   
HD000886              , J001314.0+151101 , elodie:20030816/0024 ,  147   
HD000886              , J001314.0+151101 , elodie:20030818/0024 ,  272   
HD000886              , J001314.0+151101 , elodie:20030818/0036 ,  315   
HD000886              , J001314.0+151101 , elodie:20030818/0027 ,  336   
HD000886              , J001314.0+151101 , elodie:20030818/0033 ,  282   
HD000886              , J001314.0+151101 , elodie:20030819/0040 ,  280   
HD000886              , J001314.0+151101 , elodie:20030819/0030 ,  322   
HD000886              , J001314.0+151101 , elodie:20030819/0032 ,  331   
HD000886              , J001314.0+151101 , elodie:20030819/0028 ,  284   
HD000886              , J001314.1+151101 , elodie:20040119/0017 ,  269   
HIP001092             , J001335.0+803952 , elodie:19950115/0007 ,   42   
HD001013              , J001423.2+201102 , elodie:20040211/0021 ,   34   
J001515.0+404354      , J001515.0+404354 , elodie:19960812/0010 ,   50   
GJ100.5               , J001528.1-160802 , elodie:19990929/0017 ,   22   
GJ100.5               , J001528.1-160802 , elodie:19991119/0018 ,    8   
GJ100.5               , J001528.1-160802 , elodie:20000813/0028 ,    9   
GJ100.5               , J001528.1-160802 , elodie:20001001/0013 ,   13   
GJ100.5               , J001528.1-160802 , elodie:20001124/0021 ,    8   
GJ100.5               , J001528.1-160802 , elodie:20010821/0027 ,   16   
GJ100.5               , J001528.1-160802 , elodie:20011029/0010 ,   22   
GJ100.5               , J001528.1-160802 , elodie:20020928/0018 ,   13   
GJ100.5               , J001528.1-160802 , elodie:20031021/0013 ,    6   
GJ100.5               , J001528.1-160802 , elodie:20040812/0021 ,    9   
GJ100.5               , J001528.1-160802 , elodie:20040917/0017 ,   11   
GJ0012                , J001549.0+133318 , elodie:20040918/0023 ,   11   
GJ0012                , J001549.0+133318 , elodie:20041010/0013 ,    7   
GJ0012                , J001549.3+133322 , elodie:20051121/0014 ,    7   
HD001255              , J001632.3+101319 , elodie:20040211/0022 ,   14   
HD001227              , J001633.0+081425 , elodie:19970822/0014 ,  101   
FO_CAS                , J001703.0+604809 , elodie:19941124/0005 ,    6   
FO_CAS                , J001703.0+604809 , elodie:19950204/0008 ,    4   
FO_CAS                , J001703.0+604809 , elodie:19960824/0024 ,    2   
FO_CAS                , J001703.0+604809 , elodie:19960824/0025 ,    1   
BD+400045             , J001703.7+405651 , elodie:19950908/0018 ,   66   
BD+400045             , J001703.7+405651 , elodie:19951106/0013 ,   38   
BD+400045             , J001703.7+405651 , elodie:19960108/0011 ,   60   
BD+400045             , J001703.7+405651 , elodie:19960829/0032 ,   50   
BD+400045             , J001703.7+405651 , elodie:19961024/0024 ,   49   
BD+400045             , J001705.0+405653 , elodie:20040820/0023 ,   60   
HD001280              , J001705.5+384054 , elodie:20041111/0022 ,  371   
HD001280              , J001706.0+384054 , elodie:20011128/0008 ,  134   
HD001337              , J001743.1+512559 , elodie:20041114/0008 ,  125   
HD001326A             , J001809.5+440103 , elodie:19940927/0015 ,  128   
HD001404              , J001819.7+364707 , elodie:20041111/0021 ,  373   
HD001404              , J001820.0+364707 , elodie:20030901/0034 ,  176   
HD001404              , J001820.0+364707 , elodie:20030901/0042 ,  188   
HD001404              , J001820.0+364707 , elodie:20030909/0041 ,  163   
HD001404              , J001820.0+364707 , elodie:20030909/0040 ,  174   
HD001404              , J001820.0+364707 , elodie:20030909/0035 ,  153   
HD001404              , J001820.0+364707 , elodie:20030929/0028 ,  306   
HD001404              , J001820.0+364707 , elodie:20030929/0036 ,  275   
HD001404              , J001820.0+364707 , elodie:20031105/0038 ,  198   
HD001404              , J001820.0+364707 , elodie:20031105/0033 ,  280   
HD001404              , J001820.0+364707 , elodie:20031105/0039 ,  207   
HD001404              , J001820.0+364707 , elodie:20040202/0022 ,  291   
HD001404              , J001820.0+364707 , elodie:20040830/0044 ,  238   
HD001404              , J001820.0+364707 , elodie:20040921/0015 ,  127   
HD001404              , J001820.0+364707 , elodie:20040923/0032 ,  191   
HD001404              , J001820.0+364707 , elodie:20041107/0025 ,  126   
HD001404              , J001820.0+364707 , elodie:20050825/0032 ,  285   
HD001404              , J001820.0+364707 , elodie:20051208/0020 ,  133   
HD001404              , J001820.0+364707 , elodie:20060810/0038 ,  113   
HD001326A             , J001822.0+440122 , elodie:20040818/0015 ,   89   
J001823.0+440123      , J001823.0+440123 , elodie:19961120/0024 ,   74   
GJ0015                , J001823.3+440124 , elodie:19951026/0021 ,   59   
GJ0015                , J001823.3+440124 , elodie:19951028/0019 ,    4   
GJ0015                , J001823.3+440124 , elodie:19960121/0010 ,   45   
GJ0015                , J001823.3+440124 , elodie:19960820/0019 ,   62   
